Title,Year,Review
Pride,1955,106 puntos con 25 menciones
The Sound of the Shaking Earth,1990,76 puntos con 22 menciones
The Days When I Don’t Exist,2003,59 puntos con 18 menciones
I've Always Loved You,1946,57 puntos con 12 menciones
Night Function,1981,55 puntos con 15 menciones
To Die... To Sleep... Perchance to Dream,1976,54 puntos con 15 menciones
"Wait Till the Sun Shines, Nellie",1952,52 puntos con 12 menciones
Lou Didn't Say No,1994,44 puntos con 12 menciones
An Injury to One,2002,42 puntos con 11 menciones
Children of the Beehive,1948,42 puntos con 11 menciones
Two People,1945,37 puntos con 14 menciones
The Trail of the Lonesome Pine,1936,33 puntos con 10 menciones
The Other Woman,1961,32 puntos con 9 menciones
Condemned,1953,32 puntos con 8 menciones
Poem of the Sea,1958,31 puntos con 9 menciones
Next Time We Love,1936,31 puntos con 8 menciones
Route One/USA,1989,31 puntos con 7 menciones
Ray of Sunshine,1933,30 puntos con 8 menciones
The House in the Woods,1971,30 puntos con 8 menciones
Lacrima Christi,1980,30 puntos con 7 menciones
The Good Love,1963,29 puntos con 10 menciones
Enoch Arden,1911,29 puntos con 9 menciones
Visions in Meditation,1990,28 puntos con 6 menciones
Summer Clouds,1958,27 puntos con 7 menciones
s01e03,2020,27 puntos con 7 menciones
Smilin' Through,1941,27 puntos con 6 menciones
I Did Not Die,2008,25 puntos con 7 menciones
Masquerade in Vienna,1934,25 puntos con 7 menciones
Nine Letters to Berta,1966,25 puntos con 7 menciones
Cartesius,1974,25 puntos con 6 menciones
Red Fish,1955,25 puntos con 6 menciones
The Childhood of Maxim Gorky,1938,23 puntos con 6 menciones
Spirit Quest,2016,23 puntos con 5 menciones
Wild Innocence,2001,22 puntos con 9 menciones
The Iron Mask,1929,22 puntos con 5 menciones
Before My Eyes,1989,21 puntos con 8 menciones
La vida en un hilo,1945,21 puntos con 7 menciones
The Letter,1999,21 puntos con 7 menciones
Beloved Infidel,1959,21 puntos con 6 menciones
Después de… Primera parte: no se os puede dejar solos,1981,20 puntos con 6 menciones
The Next Voice You Hear...,1950,20 puntos con 6 menciones
Home for Christmas,1978,19 puntos con 6 menciones
The Future,2013,19 puntos con 6 menciones
Uncle Hyacynth,1956,19 puntos con 6 menciones
Blue Black Permanent,1992,19 puntos con 5 menciones
Children in the Wind,1937,19 puntos con 5 menciones
Scénario du film Passion,1982,19 puntos con 5 menciones
A Perfect Couple,2005,18 puntos con 7 menciones
Coming Attractions,2010,18 puntos con 6 menciones
Black Sky,1951,18 puntos con 5 menciones
Milestones,1975,18 puntos con 5 menciones
Frisco Jenny,1932,18 puntos con 4 menciones
The Search for Emak Bakia,2012,18 puntos con 3 menciones
The Mirage,1992,17 puntos con 7 menciones
Hand Held Day,1975,17 puntos con 6 menciones
Passacaglia and Fugue,1975,17 puntos con 5 menciones
"Romeo, Juliet and Darkness",1960,17 puntos con 5 menciones
Alaya,1987,17 puntos con 4 menciones
City of Lost Souls,1983,17 puntos con 4 menciones
"PJ Ladd's Wonderful, Horrible Life",2002,17 puntos con 4 menciones
Pueblerina,1949,17 puntos con 4 menciones
Middle-Class Train,1933,16 puntos con 6 menciones
Island of Loves,1982,16 puntos con 5 menciones
Snow White,2000,16 puntos con 5 menciones
Travolta and Me,1994,16 puntos con 5 menciones
Amsterdam Global Village,1996,16 puntos con 4 menciones
Aunt Tula,1964,16 puntos con 4 menciones
De nens,2003,16 puntos con 4 menciones
Final del verano,2019,16 puntos con 4 menciones
My Apprenticeship,1939,16 puntos con 4 menciones
Songs for After a War,1976,16 puntos con 4 menciones
A Free Woman,1954,15 puntos con 6 menciones
Drugstore Romance,1979,15 puntos con 5 menciones
Long Live the Republic,1965,15 puntos con 5 menciones
No Sad Songs for Me,1950,15 puntos con 5 menciones
The Good Bad Man,1916,15 puntos con 5 menciones
Les Deux mémoires,1974,15 puntos con 4 menciones
Living in Shadows,1949,15 puntos con 4 menciones
The Enchanted Desna,1964,15 puntos con 4 menciones
Toutes les nuits,2001,15 puntos con 4 menciones
The Wiser Age,1962,15 puntos con 3 menciones
Corruption,1963,14 puntos con 5 menciones
Woman They Almost Lynched,1953,14 puntos con 5 menciones
Enchantment,1948,14 puntos con 4 menciones
Studies for the Decay of the West,2010,14 puntos con 4 menciones
The Thin Line,1966,14 puntos con 4 menciones
An American Romance,1944,14 puntos con 3 menciones
I'd Climb the Highest Mountain,1951,14 puntos con 3 menciones
Messages,1984,14 puntos con 3 menciones
Time Stood Still,1959,14 puntos con 3 menciones
‘Rameau’s Nephew’ by Diderot (Thanx to Dennis Young) by Wilma Schoen,1974,14 puntos con 3 menciones
Horizons,1973,13 puntos con 5 menciones
Acto da Primavera,1963,13 puntos con 4 menciones
