Title,Year,url_peli,Review
Entranced Earth,1967,/film/entranced-earth/,136
Él,1953,/film/el/,121
Enamorada,1946,/film/enamorada/,104
Beyond Oblivion,1956,/film/beyond-oblivion/,101
The Exterminating Angel,1962,/film/the-exterminating-angel/,80
One Way or Another,1975,/film/one-way-or-another-1975/,76
Memories of Underdevelopment,1968,/film/memories-of-underdevelopment/,75
Extraordinary Stories,2008,/film/extraordinary-stories/,73
Limite,1931,/film/limite/,70
The Young and the Damned,1950,/film/the-young-and-the-damned/,68
Autumn Days,1963,/film/autumn-days-1963/,61
Twenty Years Later,1984,/film/twenty-years-later/,61
Trenque Lauquen,2022,/film/trenque-lauquen/,61
Araya,1959,/film/araya/,60
La Flor,2018,/film/la-flor/,58
One Hundred Children Waiting for a Train,1988,/film/one-hundred-children-waiting-for-a-train/,49
Death of a Bureaucrat,1966,/film/death-of-a-bureaucrat/,45
The Criminal Life of Archibaldo de la Cruz,1955,/film/the-criminal-life-of-archibaldo-de-la-cruz/,45
Invasion,1969,/film/invasion-1969/,44
Juan: As If Nothing Ever Happened,1987,/film/juan-as-if-nothing-ever-happened/,42
La Ciénaga,2001,/film/la-cienaga/,41
Rosaura at 10 O'Clock,1958,/film/rosaura-at-10-oclock/,38
Nazarín,1959,/film/nazarin/,38
The Romance of Aniceto and Francisca,1967,/film/the-romance-of-aniceto-and-francisca/,36
Chronicle of a Boy Alone,1965,/film/chronicle-of-a-boy-alone/,35
Pueblerina,1949,/film/pueblerina/,33
The Age of the Earth,1980,/film/the-age-of-the-earth/,31
The Hour of the Furnaces,1968,/film/the-hour-of-the-furnaces/,30
City of God,2002,/film/city-of-god/,29
Pure Blood,1982,/film/pure-blood-1982/,28
"Rio, Northern Zone",1957,/film/rio-northern-zone/,27
The Secret in Their Eyes,2009,/film/the-secret-in-their-eyes/,27
Amores Perros,2000,/film/amores-perros/,27
Macario,1960,/film/macario/,27
Black Wind,1965,/film/black-wind/,27
Movie Dementia,1986,/film/movie-dementia/,27
The Battle of Chile: Part I,1975,/film/the-battle-of-chile-part-i/,27
"Black God, White Devil",1964,/film/black-god-white-devil/,27
Metal and Melancholy,1994,/film/metal-and-melancholy/,24
Another Dawn,1943,/film/another-dawn-1943/,23
Mirage,1972,/film/mirage-1972/,22
The Skeleton of Mrs. Morales,1960,/film/the-skeleton-of-mrs-morales/,22
Jauja,2014,/film/jauja/,22
Now!,1965,/film/now/,22
"My Son, the Hero",1961,/film/my-son-the-hero-1961/,21
The Terrace,1963,/film/the-terrace-1963/,21
A Place in the World,1992,/film/a-place-in-the-world/,21
"Rio, 100 Degrees F°",1955,/film/rio-100-degrees-f/,20
Santa Sangre,1989,/film/santa-sangre/,20
Shark Hunters,1963,/film/shark-hunters/,19
The Bitter Stems,1956,/film/the-bitter-stems/,18
Passacaglia and Fugue,1975,/film/passacaglia-and-fugue/,18
Arabian Coffee,1968,/film/arabian-coffee/,18
Nine Queens,2000,/film/nine-queens/,18
Two Monks,1934,/film/two-monks/,17
The Boy and the Wind,1967,/film/the-boy-and-the-wind/,17
The Holy Girl,2004,/film/the-holy-girl/,17
